Price,Lat,Lng,Type,Floors,Building,Rooms,Floor,Area
3990.0,56.335455,43.884858,Resale,5,Brick,2,3,78.0
2750.0,56.328174,43.953462,Resale,9,Brick,3,2,57.0
3090.0,56.2827,44.080331,Resale,5,Brick,1,5,40.3
3350.0,56.2827,44.080331,Resale,10,Brick,2,9,55.0
6300.0,56.321077,43.996653,Resale,4,Brick,3,3,80.0
3500.0,56.344666000000004,43.929189,Resale,9,Brick,2,2,63.8
2300.0,56.31746700000001,44.05454,Resale,9,Brick,1,3,33.7
1860.0,56.271501,43.881209999999996,Resale,9,Brick,1,8,36.5
3700.0,56.367138,43.807584999999996,Resale,10,Brick,3,5,73.0
1950.0,56.278088000000004,43.986421,Resale,5,Brick,1,4,29.0
7700.0,56.315505,44.022596,Resale,6,Brick,2,2,77.1
7150.0,56.308985,44.018454999999996,Resale,10,Brick,3,1,104.8
3600.0,56.335784999999994,43.917134000000004,Resale,9,Brick,3,2,63.7
4500.0,56.26823100000001,44.056642,Resale,2,Brick,4,1,130.0
1300.0,56.23404,44.006004,Resale,9,Brick,1,3,33.8
8000.0,56.311012,43.991658,Resale,9,Brick,2,9,84.0
2650.0,56.320646999999994,43.886734999999994,Resale,4,Brick,3,4,54.0
2030.0,56.334596999999995,43.875138,Resale,9,Brick,1,6,34.0
4600.0,56.319534,44.054163,Resale,9,Brick,3,4,64.0
6600.0,56.340764,43.951027,Resale,17,Brick,3,1,87.0
1900.0,56.313807999999995,43.941146,Resale,9,Brick,1,7,29.5
3200.0,56.326887,44.005986,Resale,6,Brick,3,2,62.0
2150.0,56.33874399999999,43.926611,Resale,9,Brick,1,9,35.6
3100.0,56.286697,44.044874,Resale,9,Brick,2,9,45.0
2160.0,56.27265,43.911017,Resale,5,Brick,2,5,44.0
3900.0,56.287117,44.075309000000004,Resale,10,Brick,3,8,63.0
2180.0,56.255447,43.970144,Resale,5,Brick,1,5,30.7
10000.0,56.32710600000001,44.019093,Resale,5,Brick,3,4,108.7
2690.0,56.326887,44.005986,Resale,5,Brick,3,1,63.0
6000.0,56.31124200000001,44.000561,Resale,9,Brick,1,7,55.4
2650.0,56.305814,43.934651,Resale,4,Brick,3,4,58.0
1400.0,56.310947,44.033466,Resale,5,Brick,1,5,19.2
3300.0,56.297573,44.027483000000004,Resale,10,Brick,2,1,52.0
3650.0,56.283799,44.061178999999996,Resale,17,Brick,1,15,45.0
3950.0,56.285393000000006,44.051836,Resale,12,Brick,2,11,51.0
2400.0,56.270201,43.924966999999995,Resale,5,Brick,1,3,35.2
2660.0,56.232213,43.955214,Resale,5,Brick,2,2,50.0
2050.0,56.240628,43.832836,Resale,4,Brick,2,4,43.6
2700.0,56.317053,44.033457,Resale,9,Brick,1,4,35.8
10300.0,56.296589000000004,44.076181,Resale,6,Brick,4,4,129.9
3030.0,56.282011,44.04085,Resale,9,Brick,2,9,45.5
3100.0,56.31019300000001,44.022614000000004,Resale,14,Brick,1,5,37.0
2400.0,56.322325,43.981759000000004,Resale,5,Brick,1,2,30.3
2150.0,56.312918999999994,43.898117,Resale,9,Brick,2,1,48.9
4900.0,56.301559,43.94250200000001,Resale,14,Brick,2,6,72.0
2800.0,56.278063,43.924312,Resale,5,Brick,3,2,56.1
4500.0,56.314252,44.026872,Resale,9,Brick,2,2,66.0
1550.0,56.275339,43.930869,Resale,3,Brick,1,2,32.0
5150.0,56.28388399999999,44.068141,Resale,17,Brick,3,14,78.1
2100.0,56.281361,43.923970000000004,Resale,9,Brick,1,6,30.4
1600.0,56.266962,43.91328,Resale,5,Brick,1,2,32.2
2980.0,56.233739,43.870727,Resale,5,Brick,2,3,45.0
2850.0,56.267162,44.023531,Resale,17,Brick,1,9,43.0
